id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
0,SHSE.600000,1d,4.6251,4.63,4.5516,4.5712,69821037,652410783.0,4.6202,2014-01-02 00:00:00+08:00,2014-01-02 00:00:00+08:00,0
1,SHSE.600000,1d,4.5467,4.5565,4.4487,4.4781,88351969,807094466.0,4.5712,2014-01-03 00:00:00+08:00,2014-01-03 00:00:00+08:00,0
2,SHSE.600000,1d,4.5614,4.5761,4.4732,4.5026,117267700,1079925474.0,4.4781,2014-01-06 00:00:00+08:00,2014-01-06 00:00:00+08:00,0
3,SHSE.600000,1d,4.4928,4.5124,4.4144,4.4781,72150947,657895513.0,4.5026,2014-01-07 00:00:00+08:00,2014-01-07 00:00:00+08:00,0
4,SHSE.600000,1d,4.4781,4.5663,4.4634,4.5075,78603481,724415950.0,4.4781,2014-01-08 00:00:00+08:00,2014-01-08 00:00:00+08:00,0
5,SHSE.600000,1d,4.5075,4.6251,4.4879,4.5516,109976763,1025797662.0,4.5075,2014-01-09 00:00:00+08:00,2014-01-09 00:00:00+08:00,0
6,SHSE.600000,1d,4.5467,4.63,4.5271,4.6104,93379978,875061947.0,4.5516,2014-01-10 00:00:00+08:00,2014-01-10 00:00:00+08:00,0
7,SHSE.600000,1d,4.6251,4.6398,4.5712,4.6006,65935363,618500138.0,4.6104,2014-01-13 00:00:00+08:00,2014-01-13 00:00:00+08:00,0
8,SHSE.600000,1d,4.6055,4.6202,4.532,4.6055,79710266,744481149.0,4.6006,2014-01-14 00:00:00+08:00,2014-01-14 00:00:00+08:00,0
9,SHSE.600000,1d,4.6006,4.6055,4.4879,4.5222,77606643,717370004.0,4.6055,2014-01-15 00:00:00+08:00,2014-01-15 00:00:00+08:00,0
10,SHSE.600000,1d,4.5173,4.5369,4.4928,4.4977,67204743,618488788.0,4.5222,2014-01-16 00:00:00+08:00,2014-01-16 00:00:00+08:00,0
11,SHSE.600000,1d,4.4928,4.4928,4.4438,4.4683,66047496,601804105.0,4.4977,2014-01-17 00:00:00+08:00,2014-01-17 00:00:00+08:00,0
12,SHSE.600000,1d,4.4585,4.4732,4.4291,4.4438,42094792,382309899.0,4.4683,2014-01-20 00:00:00+08:00,2014-01-20 00:00:00+08:00,0
13,SHSE.600000,1d,4.4585,4.5369,4.4536,4.4879,47596032,436604867.0,4.4438,2014-01-21 00:00:00+08:00,2014-01-21 00:00:00+08:00,0
14,SHSE.600000,1d,4.4977,4.5957,4.4928,4.5761,91387277,849733125.0,4.4879,2014-01-22 00:00:00+08:00,2014-01-22 00:00:00+08:00,0
15,SHSE.600000,1d,4.5614,4.5761,4.5124,4.5173,63055407,583623058.0,4.5761,2014-01-23 00:00:00+08:00,2014-01-23 00:00:00+08:00,0
16,SHSE.600000,1d,4.4928,4.5663,4.4781,4.5222,70757205,653717695.0,4.5173,2014-01-24 00:00:00+08:00,2014-01-24 00:00:00+08:00,0
17,SHSE.600000,1d,4.5026,4.5075,4.4585,4.4683,69858649,637844251.0,4.5222,2014-01-27 00:00:00+08:00,2014-01-27 00:00:00+08:00,0
18,SHSE.600000,1d,4.4683,4.5516,4.4683,4.5026,57333618,527187516.0,4.4683,2014-01-28 00:00:00+08:00,2014-01-28 00:00:00+08:00,0
19,SHSE.600000,1d,4.5271,4.5614,4.5075,4.5516,71042825,659122848.0,4.5026,2014-01-29 00:00:00+08:00,2014-01-29 00:00:00+08:00,0
20,SHSE.600000,1d,4.5418,4.5565,4.483,4.4928,52508927,485399532.0,4.5516,2014-01-30 00:00:00+08:00,2014-01-30 00:00:00+08:00,0
21,SHSE.600000,1d,4.4732,4.4977,4.4438,4.4977,51136921,466080896.0,4.4928,2014-02-07 00:00:00+08:00,2014-02-07 00:00:00+08:00,0
22,SHSE.600000,1d,4.4977,4.5565,4.4879,4.5516,91573113,848138382.0,4.4977,2014-02-10 00:00:00+08:00,2014-02-10 00:00:00+08:00,0
