代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
301307.SZ,美利信,2023-04-24,32.34,27.8,29.55,19512274,-8.6271,41.5558,
301307.SZ,美利信,2023-04-25,29.18,27.85,27.95,11552649,-5.4146,24.604,
301307.SZ,美利信,2023-04-26,29.78,27.69,28.52,10265052,2.0394,21.8617,
301307.SZ,美利信,2023-04-27,30.55,27.76,30,12780729,5.1893,27.2194,
301307.SZ,美利信,2023-04-28,30.3,28.8,28.98,9519299,-3.4,20.2735,
301307.SZ,美利信,2023-05-04,29.56,28.06,28.24,7915725,-2.5535,16.8583,
301307.SZ,美利信,2023-05-05,28.3,26.17,26.21,8551585,-7.1884,18.2125,
301307.SZ,美利信,2023-05-08,26.97,26.38,26.66,4696179,1.7169,10.0016,
301307.SZ,美利信,2023-05-09,27.29,26.22,26.55,4446788,-0.4126,9.4704,
301307.SZ,美利信,2023-05-10,28.48,26.31,28.2,8211226,6.2147,17.4877,
301307.SZ,美利信,2023-05-11,27.97,27.25,27.45,4936224,-2.6596,10.5128,
301307.SZ,美利信,2023-05-12,27.87,26.88,26.88,3476146,-2.0765,7.4032,
