代码,简称,日期,最高价(元),最低价(元),收盘价(元),成交量(股),涨跌幅(%),换手率(%),
688539.SH,高华科技,2023-04-18,44,34.6,35,16192712,-8.4249,57.3653,
688539.SH,高华科技,2023-04-19,40.76,35.61,37.86,13835450,8.1714,49.0144,
688539.SH,高华科技,2023-04-20,39.9,37.42,38.29,10297732,1.1358,36.4814,
688539.SH,高华科技,2023-04-21,40.49,37.7,38.75,7034918,1.2014,24.9224,
688539.SH,高华科技,2023-04-24,41.33,38.9,40.64,7795803,4.8774,27.6179,
688539.SH,高华科技,2023-04-25,43.2,40.03,42.7,7388435,5.0689,26.1747,
688539.SH,高华科技,2023-04-26,44.69,40.58,41.82,7237852,-2.0609,25.6413,
688539.SH,高华科技,2023-04-27,42.66,39.39,39.5,6263599,-5.5476,22.1898,
688539.SH,高华科技,2023-04-28,41.59,39.38,40.18,4497661,1.7215,15.9337,
688539.SH,高华科技,2023-05-04,40.13,37.45,37.96,4773672,-5.5251,16.9115,
688539.SH,高华科技,2023-05-05,37.79,34.76,35.81,5901514,-5.6639,20.9071,
688539.SH,高华科技,2023-05-08,38.1,35.64,37.31,3897817,4.1888,13.8087,
688539.SH,高华科技,2023-05-09,38.31,36.39,37.13,2941733,-0.4824,10.4216,
688539.SH,高华科技,2023-05-10,37.03,35.65,36.48,2641989,-1.7506,9.3597,
688539.SH,高华科技,2023-05-11,37.33,36,36.95,1928110,1.2884,6.8306,
688539.SH,高华科技,2023-05-12,37.18,35.4,35.47,2348676,-4.0054,8.3206,
