code,name,label
0012.HK,恒基地产,A
001979.SZ,招商蛇口,A
002001.SZ,新和成,A
002004.SZ,华邦健康,B
002006.SZ,精工科技,C
002007.SZ,华兰生物,B
002008.SZ,大族激光,B
002024.SZ,ST易购,A
002025.SZ,航天电器,B
002027.SZ,分众传媒,B
002029.SZ,七匹狼,A
002032.SZ,苏泊尔,A
002034.SZ,旺能环境,A
002035.SZ,华帝股份,B
002038.SZ,双鹭药业,B
002041.SZ,登海种业,B
002044.SZ,美年健康,B
002045.SZ,国光电器,D
002049.SZ,紫光国微,B
002050.SZ,三花智控,A
002051.SZ,中工国际,B
002056.SZ,横店东磁,C
002073.SZ,软控股份,C
002074.SZ,国轩高科,C
002078.SZ,太阳纸业,B
002080.SZ,中材科技,B
002081.SZ,金螳螂,A
002085.SZ,万丰奥威,B
002092.SZ,中泰化学,C
002097.SZ,山河智能,B
002098.SZ,浔兴股份,B
002106.SZ,莱宝高科,B
002118.SZ,*ST紫鑫,C
002124.SZ,天邦食品,C
002127.SZ,南极电商,C
002129.SZ,TCL中环,B
002131.SZ,利欧股份,B
002138.SZ,顺络电子,B
002142.SZ,宁波银行,A
002146.SZ,荣盛发展,B
002151.SZ,北斗星通,B
002152.SZ,广电运通,B
002153.SZ,石基信息,B
002155.SZ,湖南黄金,C
002156.SZ,通富微电,C
002157.SZ,*ST正邦,B
002161.SZ,远望谷,C
002169.SZ,智光电气,C
002174.SZ,游族网络,C
002176.SZ,江特电机,D
002179.SZ,中航光电,A
002181.SZ,粤传媒,B
002182.SZ,云海金属,D
002184.SZ,海得控制,D
002185.SZ,华天科技,B
002192.SZ,融捷股份,C
002202.SZ,金风科技,B
002203.SZ,海亮股份,A
002212.SZ,天融信,B
002219.SZ,新里程,A
002223.SZ,鱼跃医疗,B
002230.SZ,科大讯飞,B
002233.SZ,塔牌集团,B
002234.SZ,民和股份,C
002236.SZ,大华股份,B
002237.SZ,恒邦股份,B
002240.SZ,盛新锂能,C
002241.SZ,歌尔股份,C
002242.SZ,九阳股份,A
002248.SZ,华东数控,D
002249.SZ,大洋电机,C
002250.SZ,联化科技,A
002251.SZ,步步高,C
002268.SZ,电科网安,C
002271.SZ,东方雨虹,B
002279.SZ,久其软件,D
002292.SZ,奥飞娱乐,C
002294.SZ,信立泰,A
002296.SZ,辉煌科技,C
002299.SZ,圣农发展,B
002304.SZ,洋河股份,A
002309.SZ,ST中利,C
002310.SZ,东方园林,B
002311.SZ,海大集团,A
002324.SZ,普利特,B
002325.SZ,洪涛股份,B
002327.SZ,富安娜,A
002340.SZ,格林美,C
002341.SZ,新纶新材,C
002345.SZ,潮宏基,B
002352.SZ,顺丰控股,A
002353.SZ,杰瑞股份,B
002355.SZ,兴民智通,C
002366.SZ,台海核电,D
002371.SZ,北方华创,B
002372.SZ,伟星新材,A
002373.SZ,千方科技,B
002384.SZ,东山精密,B
002405.SZ,四维图新,B
002410.SZ,广联达,A
002415.SZ,海康威视,A
002416.SZ,爱施德,B
002421.SZ,达实智能,B
002422.SZ,科伦药业,B
002424.SZ,贵州百灵,C
002426.SZ,胜利精密,C
002431.SZ,棕榈股份,C
002437.SZ,誉衡药业,B
002439.SZ,启明星辰,B
002444.SZ,巨星科技,B
002446.SZ,盛路通信,C
002454.SZ,松芝股份,C
002456.SZ,欧菲光,B
002459.SZ,晶澳科技,B
002460.SZ,赣锋锂业,C
002462.SZ,嘉事堂,B
002465.SZ,海格通信,B
002466.SZ,天齐锂业,C
002470.SZ,ST金正,B
002472.SZ,双环传动,B
002475.SZ,立讯精密,B
002480.SZ,新筑股份,C
002481.SZ,双塔食品,B
002488.SZ,金固股份,B
002492.SZ,恒基达鑫,C
002493.SZ,荣盛石化,A
002497.SZ,雅化集团,D
002500.SZ,山西证券,A
002507.SZ,涪陵榨菜,B
002508.SZ,老板电器,B
002519.SZ,银河电子,B
002541.SZ,鸿路钢构,B
002542.SZ,中化岩土,B
002550.SZ,千红制药,C
002554.SZ,惠博普,D
002555.SZ,三七互娱,C
002557.SZ,洽洽食品,B
002558.SZ,巨人网络,B
002567.SZ,唐人神,C
002568.SZ,百润股份,B
002572.SZ,索菲亚,B
002584.SZ,西陇科学,D
002589.SZ,瑞康医药,C
002594.SZ,比亚迪,B
002596.SZ,海南瑞泽,C
002597.SZ,金禾实业,B
002601.SZ,龙佰集团,B
002602.SZ,世纪华通,B
002612.SZ,朗姿股份,D
002616.SZ,长青集团,B
002624.SZ,完美世界,C
002630.SZ,华西能源,D
002643.SZ,万润股份,B
002651.SZ,利君股份,B
002653.SZ,海思科,A
002657.SZ,中科金财,D
002668.SZ,奥马电器,B
002672.SZ,东江环保,A
002673.SZ,西部证券,A
002675.SZ,东诚药业,B
002678.SZ,珠江钢琴,A
002695.SZ,煌上煌,B
002696.SZ,百洋股份,B
002697.SZ,红旗连锁,B
002698.SZ,博实股份,A
002705.SZ,新宝股份,B
002709.SZ,天赐材料,C
002714.SZ,牧原股份,B
002726.SZ,龙大美食,B
002727.SZ,一心堂,B
002738.SZ,中矿资源,D
002739.SZ,万达电影,B
002746.SZ,仙坛股份,B
002747.SZ,埃斯顿,B
002749.SZ,国光股份,A
002787.SZ,华源控股,B
002791.SZ,坚朗五金,B
002799.SZ,环球印务,B
002802.SZ,洪汇新材,B
002803.SZ,吉宏股份,D
002812.SZ,恩捷股份,B
002815.SZ,崇达技术,B
002821.SZ,凯莱英,B
002832.SZ,比音勒芬,B
002833.SZ,弘亚数控,B
002837.SZ,英维克,C
002847.SZ,盐津铺子,B
002851.SZ,麦格米特,A
002867.SZ,周大生,A
002916.SZ,深南电路,A
002928.SZ,华夏航空,B
002939.SZ,长城证券,B
002961.SZ,瑞达期货,B
002966.SZ,苏州银行,B
002967.SZ,广电计量,B
0039.HK,中国北大荒,A
0063.HK,中亚烯谷集团,A
0069.HK,香格里拉(亚洲),A
0078.HK,REGAL INT'L,A
0157.HK,自然美,A
0166.HK,新时代能源,A
0333.HK,黛丽斯国际,A
0338.HK,上海石油化工股份,A
